map_size,structure_type,algorithm,sample_count,mean_expanded_nodes,std_expanded_nodes,mean_expansion_reduction,std_expansion_reduction,mean_runtime_seconds,std_runtime_seconds,mean_runtime_ratio,std_runtime_ratio,mean_runtime_overhead,tradeoff_category
1000,narrow_corridor,region_cache_patch_64,50,50100.38,68153.78667275648,0.5099761881463205,0.28622559463640684,0.6746964102399897,0.7692011787575863,8.183177727907125,9.618961280121388,7.183177727907125,large_search_gain_runtime_worse
1000,open_random,full_map_unet_tiebreak,50,50157.58,77749.89461988743,0.2737155515566485,0.2894951320744775,0.25615063380962455,0.2675647846257939,96.74027883330793,443.3855258658848,95.74027883330793,large_search_gain_runtime_worse
1000,open_random,region_cache_patch_32,50,45396.84,77787.32991467441,0.31927250280328473,0.33003143403717244,1.2312516257000004,2.4153489518238427,14.587799061061096,22.580760839703142,13.587799061061096,large_search_gain_runtime_worse
1000,open_random,region_cache_patch_64,50,46979.38,77520.49653991904,0.29989396000113167,0.3227807294196349,0.8900753482799985,1.7345987749297287,16.480255588613307,46.566885995434795,15.480255588613307,large_search_gain_runtime_worse
1500,bottleneck,full_map_unet_tiebreak,50,310179.16,352407.9660837059,0.40190160836902195,0.28882466072989516,1.6397933370009272,1.6809643684345008,4.513964831294159,5.839947384057184,3.5139648312941594,large_search_gain_runtime_worse
1500,bottleneck,region_cache_patch_32,50,282863.94,336889.22064057854,0.49257561152707385,0.335838048178023,5.042849453359995,5.7749633387768196,6.489705595803779,3.6689735529532754,5.489705595803779,large_search_gain_runtime_worse
1500,bottleneck,region_cache_patch_64,50,297944.76,338957.120029219,0.4663929970862306,0.32844249805638553,3.797939462639997,4.202192638879584,5.366139396629541,4.083804219269566,4.366139396629541,large_search_gain_runtime_worse
1500,large_block,full_map_unet_tiebreak,50,156700.4,192175.43980862905,0.45215317905703506,0.22377419508824267,1.033854372524077,1.0000033975025158,7.629569766124767,15.218864519479656,6.629569766124767,large_search_gain_runtime_worse
1500,large_block,region_cache_patch_32,50,77935.0,186295.96871193967,0.817289299798822,0.294166706048727,2.0852564627599985,4.712512340483947,4.849640733982381,7.0235689806078545,3.8496407339823806,large_search_gain_runtime_worse
1500,large_block,region_cache_patch_64,50,105391.98,201551.35463970367,0.7061300121012971,0.29764389681359327,1.5517716276000055,2.754735727835427,4.954563656050489,7.8495635546659255,3.954563656050489,large_search_gain_runtime_worse
1500,maze_like,full_map_unet_tiebreak,50,79.04,526.9957479904368,0.20216858973415552,0.1761917401897084,0.07022789305887854,0.003584130588856134,2934.4903204279317,754.7878496160166,2933.4903204279317,large_search_gain_runtime_worse
1500,maze_like,region_cache_patch_32,50,91.68,615.6183700962797,0.20345238445651267,0.17550177243900117,0.0067135143600125955,0.03367859118282658,72.94111733469585,64.23879960867751,71.94111733469585,large_search_gain_runtime_worse
1500,maze_like,region_cache_patch_64,50,84.24,563.5384835128831,0.20465685264495365,0.17627951610504855,0.010826534659991012,0.03784456555921001,207.2146503898186,195.6137743532435,206.2146503898186,large_search_gain_runtime_worse
1500,narrow_corridor,full_map_unet_tiebreak,50,110619.88,157991.74893868857,0.46552904501575526,0.2688536768619015,0.6698331963637016,0.7562582134700013,8.597676704522502,23.26344638983324,7.597676704522502,large_search_gain_runtime_worse
1500,narrow_corridor,region_cache_patch_32,50,92193.36,138828.71408808194,0.568992270786447,0.29920542553816143,2.0903564029999826,3.3603985736690425,7.752565140150433,6.426714829454673,6.752565140150433,large_search_gain_runtime_worse
1500,narrow_corridor,region_cache_patch_64,50,94572.48,141203.2711468456,0.5280503186235015,0.2918568739447738,1.4097872691000066,2.1799136437928524,6.061200893153589,5.654264186011857,5.061200893153589,large_search_gain_runtime_worse
1500,open_random,full_map_unet_tiebreak,50,86006.46,93957.68068832053,0.27308371749368143,0.32483631230662624,0.4518145061457395,0.35956948305256037,151.4964510367322,612.2315102257223,150.4964510367322,large_search_gain_runtime_worse
1500,open_random,region_cache_patch_32,50,81824.06,95393.39846517892,0.2861722854850988,0.36055096867236375,1.659684701400006,2.027886682860654,12.378170608544368,12.518232399380324,11.378170608544368,large_search_gain_runtime_worse
1500,open_random,region_cache_patch_64,50,85321.12,94781.05595479299,0.26450886322351,0.3316072020731223,1.3447250638999981,1.6893427663074965,13.975550078897317,26.232727148956073,12.975550078897317,large_search_gain_runtime_worse
2000,bottleneck,full_map_unet_tiebreak,50,374149.64,496062.831168543,0.5006478083184358,0.31279179359363685,2.2164853825843376,2.6277206592236966,2.7248933800610398,2.471630714270026,1.7248933800610398,large_search_gain_runtime_worse
2000,bottleneck,region_cache_patch_32,50,344327.26,482708.1479522305,0.569593046615271,0.3467890037441082,7.565670292980013,10.75240160450665,5.365562530807099,4.102284513856052,4.365562530807099,large_search_gain_runtime_worse
2000,bottleneck,region_cache_patch_64,50,358036.4,494079.78703152796,0.5384560536100174,0.332591218873837,5.300456663620016,7.526530058986564,3.891864415600815,2.6318303427237955,2.891864415600815,large_search_gain_runtime_worse
2000,large_block,full_map_unet_tiebreak,50,223068.12,306091.8870318284,0.47641356648162614,0.21178032128625682,1.420903661337378,1.6670281199360024,17.11799765135821,85.8270742143114,16.11799765135821,large_search_gain_runtime_worse
2000,large_block,region_cache_patch_32,50,81193.76,239829.58161090637,0.8729534280825892,0.24219873440716036,2.841878730879998,7.2905956707573205,4.781682331399114,12.062752353579016,3.7816823313991144,large_search_gain_runtime_worse
2000,large_block,region_cache_patch_64,50,103351.18,253703.35121670662,0.7881576071384735,0.24325206517189696,1.7900410594200094,3.892177250003147,4.607373958717098,10.235789511942077,3.6073739587170977,large_search_gain_runtime_worse
2000,maze_like,full_map_unet_tiebreak,50,244.76,1691.0346130106268,0.1479360442917144,0.1689360685051058,0.10166828455646668,0.02978250583265883,4307.9384878816945,1243.33090652394,4306.9384878816945,small_search_gain_runtime_worse
2000,maze_like,region_cache_patch_32,50,254.88,1761.8745998509655,0.14716323024054984,0.1693450555588465,0.011312020640079936,0.06873708345441107,57.53204270245772,65.7119155647915,56.53204270245772,small_search_gain_runtime_worse
2000,maze_like,region_cache_patch_64,50,263.74,1823.8945891690123,0.14648663612065674,0.16984383154750574,0.017837265379948803,0.08630276327606995,211.60099041461476,292.2869412993411,210.60099041461476,small_search_gain_runtime_worse
2000,narrow_corridor,full_map_unet_tiebreak,50,273342.6,282919.3174397959,0.44264097253215956,0.264035185332181,1.5607240588173172,1.4256087884160387,5.503792050587719,21.064723137143872,4.503792050587719,large_search_gain_runtime_worse
2000,narrow_corridor,region_cache_patch_32,50,268815.1,286597.4038923765,0.5000933555734245,0.30580079671288046,5.394949883520049,5.627717083112907,6.495528878133338,4.920588956178028,5.495528878133338,large_search_gain_runtime_worse
2000,narrow_corridor,region_cache_patch_64,50,250455.62,280903.0742664017,0.5095879357923169,0.2889786856880719,3.522017010219952,3.728162678129632,5.053021317960983,5.783586649791412,4.053021317960983,large_search_gain_runtime_worse
2000,open_random,full_map_unet_tiebreak,50,166575.36,180086.55808491205,0.2556544003714446,0.30153930258546074,0.9373244854232708,0.8349001880324337,326.09149862203276,1146.2559419383354,325.09149862203276,large_search_gain_runtime_worse
2000,open_random,region_cache_patch_32,50,149290.82,179132.3657983325,0.30317838974395456,0.3483187823191317,2.978114324859998,3.4405207481464277,12.433788719765946,18.891714947691536,11.433788719765946,large_search_gain_runtime_worse
2000,open_random,region_cache_patch_64,50,159308.62,182879.8853719993,0.28464688614862116,0.3402438508047005,2.331641112579982,2.75026610459513,25.60729062927052,80.339209189438,24.60729062927052,large_search_gain_runtime_worse
500,bottleneck,full_map_unet_tiebreak,50,31910.08,42691.530449418184,0.4074083726828765,0.28519923597482755,0.14313150776036646,0.15896171561212502,13.031329027914127,37.6835150967956,12.031329027914127,large_search_gain_runtime_worse
500,bottleneck,region_cache_patch_32,50,29307.86,41213.28765532301,0.5042079152419461,0.329566858882848,0.6557879471800016,0.8129727310978478,25.24710643868167,41.60222582591301,24.24710643868167,large_search_gain_runtime_worse
500,bottleneck,region_cache_patch_64,50,31185.98,42772.46069773868,0.4335920742835602,0.3094527877043851,0.39886336621999874,0.46059254971566393,19.104509861264038,31.204488213591198,18.104509861264038,large_search_gain_runtime_worse
500,large_block,full_map_unet_tiebreak,50,11218.38,12819.143880758964,0.5739155929587315,0.2541757651338405,0.0779658604913657,0.06070979972882588,8.859805748604384,21.43789674301393,7.8598057486043835,large_search_gain_runtime_worse
500,large_block,region_cache_patch_32,50,4823.26,10200.74395877085,0.8215826586267584,0.26347404199477836,0.283538640459999,0.3376845962780542,13.560775025962531,17.733670193435152,12.560775025962531,large_search_gain_runtime_worse
500,large_block,region_cache_patch_64,50,8240.5,13035.586224255509,0.6985075218921262,0.27953847744013904,0.18761668133999707,0.18896556517039087,10.856017571734721,15.488735840099372,9.856017571734721,large_search_gain_runtime_worse
500,maze_like,full_map_unet_tiebreak,50,3.38,1.1115754585272202,0.18638888888888888,0.17182054412297748,0.00774102443679661,0.002758097326504181,479.51870510911704,175.86388723440936,478.51870510911704,small_search_gain_runtime_worse
500,maze_like,region_cache_patch_32,50,3.36,1.0725670142233539,0.1886111111111111,0.17440573703611675,0.0019608494599987125,0.0017677910553360512,103.63419384120132,94.89774818044282,102.63419384120132,small_search_gain_runtime_worse
500,maze_like,region_cache_patch_64,50,3.36,1.0725670142233539,0.1886111111111111,0.17440573703611675,0.00484536387999924,0.004308294788509958,256.52851479968143,233.30559275947567,255.52851479968143,small_search_gain_runtime_worse
500,narrow_corridor,full_map_unet_tiebreak,50,15543.94,18587.818902076702,0.5079816116910809,0.27240271938285077,0.08592778278934982,0.07159654288426266,6.150811581695016,10.85379006445972,5.150811581695016,large_search_gain_runtime_worse
500,narrow_corridor,region_cache_patch_32,50,14108.22,18002.956614167575,0.5816639313407854,0.2964927000023584,0.4840065678800005,0.47437960235045834,18.204581048779566,13.066984830947812,17.204581048779566,large_search_gain_runtime_worse
500,narrow_corridor,region_cache_patch_64,50,14375.06,18159.690161905295,0.5558310177807216,0.2924722461540676,0.259739667839994,0.23366731291098247,12.06854235494368,13.154992021182006,11.06854235494368,large_search_gain_runtime_worse
500,open_random,full_map_unet_tiebreak,50,10046.44,9871.758633921314,0.2883007041040113,0.2845092483804392,0.04715814231997314,0.03767255429228482,28.32685277562957,127.35761844671266,27.32685277562957,large_search_gain_runtime_worse
500,open_random,region_cache_patch_32,50,9008.06,9596.066974359861,0.3223953558437072,0.336254716200345,0.19060075397999782,0.18599236322912965,15.86737289707423,17.176541218344543,14.86737289707423,large_search_gain_runtime_worse
500,open_random,region_cache_patch_64,50,9657.34,9428.34978479267,0.2974372142370884,0.2953683718815292,0.14925326628000135,0.13453611253108164,18.691392811417852,39.110004669198055,17.691392811417852,large_search_gain_runtime_worse
