case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds,status,failure_reason
size500_bottleneck_seed520480807,500,bottleneck,520480807,0.3,5cd5132cee564bab432b1b47443ca001945554e8c621a9350ee805c9f604ad2e,"314,79","432,336",809,full_map_unet_tiebreak,True,809,0,True,103839,1,0,0,0.0,0,0.0,0.0,0.0,0.004975615978240967,0.36208936700001004,0.367064982978251,completed,
size500_bottleneck_seed520480807,500,bottleneck,520480807,0.3,5cd5132cee564bab432b1b47443ca001945554e8c621a9350ee805c9f604ad2e,"314,79","432,336",809,region_cache_patch_32,True,809,0,True,103092,354,104078,103724,0.9965987048175406,354,0.6746803989998398,0.01727494399221996,0.22341193601489073,0.0,0.44457362399304423,1.3599409029999947,completed,
size500_bottleneck_seed520480807,500,bottleneck,520480807,0.3,5cd5132cee564bab432b1b47443ca001945554e8c621a9350ee805c9f604ad2e,"314,79","432,336",809,region_cache_patch_64,True,809,0,True,98008,84,98695,98611,0.9991488930543594,84,0.5278336590002084,0.01674514699382712,0.09287033542990684,0.0,0.2637590445760486,0.901208185999991,completed,
size500_bottleneck_seed520480808,500,bottleneck,520480808,0.4,461be348b0e6b1d50feacb1af258e8d3b38831733babdffc258399f7cecc0158,"241,469","107,248",779,manhattan_astar,True,779,0,True,109580,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.13729593699997622,0.13729593699997622,completed,
size500_bottleneck_seed520480808,500,bottleneck,520480808,0.4,461be348b0e6b1d50feacb1af258e8d3b38831733babdffc258399f7cecc0158,"241,469","107,248",779,full_map_unet_tiebreak,True,779,0,True,109308,1,0,0,0.0,0,0.0,0.0,0.0,0.008660991668701172,0.41715444500002263,0.4258154366687238,completed,
size500_bottleneck_seed520480808,500,bottleneck,520480808,0.4,461be348b0e6b1d50feacb1af258e8d3b38831733babdffc258399f7cecc0158,"241,469","107,248",779,region_cache_patch_32,True,779,0,True,109290,385,109520,109135,0.9964846603360117,385,0.7669942890000812,0.023958060992043784,0.2509870074987414,0.0,0.44000454450914545,1.4819439020000118,completed,
size500_bottleneck_seed520480808,500,bottleneck,520480808,0.4,461be348b0e6b1d50feacb1af258e8d3b38831733babdffc258399f7cecc0158,"241,469","107,248",779,region_cache_patch_64,True,779,0,True,109341,101,109542,109441,0.9990779792225813,101,0.6614505650001377,0.02118214000046237,0.10688406378030776,0.0,0.30655848121907636,1.0960752499999842,completed,
size500_bottleneck_seed520480809,500,bottleneck,520480809,0.1,4f7c0cad89a23b4e72f17e884de3338ce92854ca02b6aed3e4c69010f7c43e50,"115,54","205,372",408,manhattan_astar,True,408,0,True,20202,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.023312083999996958,0.023312083999996958,completed,
size500_bottleneck_seed520480809,500,bottleneck,520480809,0.1,4f7c0cad89a23b4e72f17e884de3338ce92854ca02b6aed3e4c69010f7c43e50,"115,54","205,372",408,full_map_unet_tiebreak,True,408,0,True,7756,1,0,0,0.0,0,0.0,0.0,0.0,0.006808351993560791,0.03394320499998571,0.0407515569935465,completed,
size500_bottleneck_seed520480809,500,bottleneck,520480809,0.1,4f7c0cad89a23b4e72f17e884de3338ce92854ca02b6aed3e4c69010f7c43e50,"115,54","205,372",408,region_cache_patch_32,True,408,0,True,7975,48,8770,8722,0.994526795895097,48,0.09137167599990903,0.001019459000048073,0.0290373118519783,0.0,0.037958843148076765,0.15938729000001217,completed,
size500_bottleneck_seed520480809,500,bottleneck,520480809,0.1,4f7c0cad89a23b4e72f17e884de3338ce92854ca02b6aed3e4c69010f7c43e50,"115,54","205,372",408,region_cache_patch_64,True,408,0,True,6069,11,6865,6854,0.9983976693372177,11,0.07157409199996323,0.0007453719981924678,0.00634540793299675,0.0,0.016626414068867234,0.09529128600001968,completed,
size500_bottleneck_seed520480810,500,bottleneck,520480810,0.2,999f2cd8f056a65f31be1d9e3956d3e0cae6216e118309fcf212023d72fa2b06,"270,251","15,175",333,manhattan_astar,True,333,0,True,4810,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.005797542999999905,0.005797542999999905,completed,
size500_bottleneck_seed520480810,500,bottleneck,520480810,0.2,999f2cd8f056a65f31be1d9e3956d3e0cae6216e118309fcf212023d72fa2b06,"270,251","15,175",333,full_map_unet_tiebreak,True,333,0,True,1854,1,0,0,0.0,0,0.0,0.0,0.0,0.006346752166748047,0.00771296000002053,0.014059712166768577,completed,
size500_bottleneck_seed520480810,500,bottleneck,520480810,0.2,999f2cd8f056a65f31be1d9e3956d3e0cae6216e118309fcf212023d72fa2b06,"270,251","15,175",333,region_cache_patch_32,True,333,0,True,902,20,1057,1037,0.9810785241248817,20,0.037049557000102595,0.00011080000001584267,0.010705535978078842,0.0,0.009583058021800525,0.057448950999997805,completed,
size500_bottleneck_seed520480810,500,bottleneck,520480810,0.2,999f2cd8f056a65f31be1d9e3956d3e0cae6216e118309fcf212023d72fa2b06,"270,251","15,175",333,region_cache_patch_64,True,333,0,True,1243,10,1416,1406,0.9929378531073446,10,0.06392158299999551,0.0001514969994218518,0.00476895996928215,0.0,0.006885575031305735,0.07572761500000524,completed,
size500_bottleneck_seed520480811,500,bottleneck,520480811,0.3,6f37b92ac9a3537168c3a64c5959d52f8264418d10417e3b34517337358370a1,"338,392","462,40",1052,manhattan_astar,True,1052,0,True,108591,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.1364365649999968,0.1364365649999968,completed,
size500_bottleneck_seed520480811,500,bottleneck,520480811,0.3,6f37b92ac9a3537168c3a64c5959d52f8264418d10417e3b34517337358370a1,"338,392","462,40",1052,full_map_unet_tiebreak,True,1052,0,True,106768,1,0,0,0.0,0,0.0,0.0,0.0,0.006710271835327148,0.3736598499999957,0.3803701218353228,completed,
size500_bottleneck_seed520480811,500,bottleneck,520480811,0.3,6f37b92ac9a3537168c3a64c5959d52f8264418d10417e3b34517337358370a1,"338,392","462,40",1052,region_cache_patch_32,True,1052,0,True,106102,366,106310,105944,0.9965572382654501,366,0.7230949400001236,0.019646242004114356,0.2674931844472884,0.0,0.3980048725484845,1.408239239000011,completed,
size500_bottleneck_seed520480811,500,bottleneck,520480811,0.3,6f37b92ac9a3537168c3a64c5959d52f8264418d10417e3b34517337358370a1,"338,392","462,40",1052,region_cache_patch_64,True,1052,0,True,106279,108,106345,106237,0.9989844374441675,108,0.6781796719999988,0.020851980998173758,0.06387967994809152,0.0,0.2773916210537336,1.0403029539999977,completed,
size500_bottleneck_seed520480812,500,bottleneck,520480812,0.4,0df1d0167dc2856a565957ec0fea2e9035bddc80d4ad19859649ef1e577be50e,"108,189","65,161",71,manhattan_astar,True,71,0,True,1227,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0014231680000023061,0.0014231680000023061,completed,
size500_bottleneck_seed520480812,500,bottleneck,520480812,0.4,0df1d0167dc2856a565957ec0fea2e9035bddc80d4ad19859649ef1e577be50e,"108,189","65,161",71,full_map_unet_tiebreak,True,71,0,True,532,1,0,0,0.0,0,0.0,0.0,0.0,0.004575232028961182,0.002067447000001721,0.006642679028962903,completed,
