map_size,structure_type,algorithm,component,completed_cases,mean_seconds,fraction_of_total
2000,large_block,region_cache_patch_64,cache_lookup,50,0.034360230768425024,0.019195219342933993
2000,maze_like,full_map_unet_tiebreak,astar_search,50,0.0008256692000213665,0.00812120715544078
2000,maze_like,full_map_unet_tiebreak,neural_inference,50,0.10084261535644531,0.9918787928445593
2000,maze_like,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
2000,maze_like,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
2000,maze_like,manhattan_astar,astar_search,50,0.0005223740399287636,1.0
2000,maze_like,manhattan_astar,neural_inference,50,0.0,0.0
2000,maze_like,manhattan_astar,patch_extraction,50,0.0,0.0
2000,maze_like,manhattan_astar,cache_lookup,50,0.0,0.0
2000,maze_like,region_cache_patch_32,astar_search,50,0.002590427307881329,0.22899775294814384
2000,maze_like,region_cache_patch_32,neural_inference,50,0.0024177919924259174,0.21373652589170242
2000,maze_like,region_cache_patch_32,patch_extraction,50,0.006264912200040271,0.5538278614735626
2000,maze_like,region_cache_patch_32,cache_lookup,50,3.88891397324187e-05,0.0034378596865912267
2000,maze_like,region_cache_patch_64,astar_search,50,0.002381658299517803,0.13352149271687513
2000,maze_like,region_cache_patch_64,neural_inference,50,0.0012299974402785302,0.06895661493387842
2000,maze_like,region_cache_patch_64,patch_extraction,50,0.014179199940053877,0.7949200529355231
2000,maze_like,region_cache_patch_64,cache_lookup,50,4.640970009859302e-05,0.002601839413723306
2000,narrow_corridor,full_map_unet_tiebreak,astar_search,50,1.3246838767799636,0.8487623864680988
2000,narrow_corridor,full_map_unet_tiebreak,neural_inference,50,0.2360401820373535,0.1512376135319011
2000,narrow_corridor,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
2000,narrow_corridor,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
2000,narrow_corridor,manhattan_astar,astar_search,50,0.7196436628599895,1.0
2000,narrow_corridor,manhattan_astar,neural_inference,50,0.0,0.0
2000,narrow_corridor,manhattan_astar,patch_extraction,50,0.0,0.0
2000,narrow_corridor,manhattan_astar,cache_lookup,50,0.0,0.0
2000,narrow_corridor,region_cache_patch_32,astar_search,50,1.6755143168462612,0.3105708770278764
2000,narrow_corridor,region_cache_patch_32,neural_inference,50,1.1911075269746785,0.22078194472448284
2000,narrow_corridor,region_cache_patch_32,patch_extraction,50,2.4444978318619723,0.45310853383998595
2000,narrow_corridor,region_cache_patch_32,cache_lookup,50,0.08383020783713618,0.0155386444076547
2000,narrow_corridor,region_cache_patch_64,astar_search,50,1.0487699529498224,0.2977753798197375
2000,narrow_corridor,region_cache_patch_64,neural_inference,50,0.5116309822836517,0.14526647111556681
2000,narrow_corridor,region_cache_patch_64,patch_extraction,50,1.8801601632604343,0.5338305175144561
2000,narrow_corridor,region_cache_patch_64,cache_lookup,50,0.08145591172604327,0.023127631550239534
2000,open_random,full_map_unet_tiebreak,astar_search,50,0.7183818755599896,0.7664174858673274
2000,open_random,full_map_unet_tiebreak,neural_inference,50,0.21894260986328123,0.23358251413267261
2000,open_random,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
2000,open_random,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
2000,open_random,manhattan_astar,astar_search,50,0.543623603520009,1.0
2000,open_random,manhattan_astar,neural_inference,50,0.0,0.0
2000,open_random,manhattan_astar,patch_extraction,50,0.0,0.0
2000,open_random,manhattan_astar,cache_lookup,50,0.0,0.0
2000,open_random,region_cache_patch_32,astar_search,50,0.833515671240936,0.27988034719927
2000,open_random,region_cache_patch_32,neural_inference,50,0.5179842387649418,0.17393027340859132
2000,open_random,region_cache_patch_32,patch_extraction,50,1.5777606284814465,0.5297851111057053
2000,open_random,region_cache_patch_32,cache_lookup,50,0.04885378637267422,0.016404268286433512
2000,open_random,region_cache_patch_64,astar_search,50,0.5886690597307923,0.25246984047190035
2000,open_random,region_cache_patch_64,neural_inference,50,0.24148894654661424,0.10357037592264982
