seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
1,20,0.2,random,2,8,10,9,dijkstra,True,True,9,9,100,0.00020770800074387807,,10.065830721003135,120.67398119122257,10.9851709677739,0.9968652037617555,0.0,0.9278996865203761,0.0,0.0
1,20,0.2,random,2,8,10,9,manhattan,True,True,9,9,13,3.720899985637516e-05,,0.20689655172413793,0.9404388714733543,0.9697622757528539,0.06896551724137931,0.0,0.01567398119122257,0.0,0.0
1,20,0.2,random,2,8,10,9,mlp_table,True,True,9,9,10,8.333299956575502e-05,,0.937907414002852,1.650648550683359,1.284775681075634,0.05642633228840126,0.9404388714733543,0.01567398119122257,0.003134796238244514,3.2236061096191406
1,20,0.2,random,2,8,10,9,unet,True,True,9,9,13,0.00011124999946332537,,0.7497051390921434,1.2916840196335535,1.1365227756774403,0.3103448275862069,0.6896551724137931,0.012539184952978056,0.01567398119122257,4.170848846435547
2,20,0.2,random,5,5,7,17,dijkstra,True,True,14,14,148,0.00031554199995298404,,15.216300940438872,273.61755485893417,16.541389145381174,0.9968652037617555,0.0,0.9623824451410659,0.0,0.0
2,20,0.2,random,5,5,7,17,manhattan,True,True,14,14,19,4.995800009055529e-05,,2.031347962382445,7.724137931034483,2.779233335118605,0.7178683385579937,0.0,0.1724137931034483,0.0,0.0
2,20,0.2,random,5,5,7,17,mlp_table,True,True,14,14,15,9.7250000180793e-05,,1.5658382468836434,4.5964992463552905,2.14394478621892,0.6050156739811913,0.39184952978056425,0.12225705329153605,0.0,2.8051719665527344
2,20,0.2,random,5,5,7,17,unet,True,True,14,14,21,0.00012449999849195592,,1.4070267930486733,3.6903288312481832,1.9210228606781814,0.6050156739811913,0.3949843260188088,0.10344827586206896,0.03761755485893417,4.878023147583008
0,20,0.3,random,3,2,17,7,dijkstra,True,True,23,23,230,0.00045795899859513156,,15.948453608247423,306.77319587628864,17.5149420745913,0.9965635738831615,0.0,0.9347079037800687,0.0,0.0
0,20,0.3,random,3,2,17,7,manhattan,True,True,23,23,102,0.00022862500009068754,,2.549828178694158,17.47079037800687,4.179807457049532,0.47766323024054985,0.0,0.3436426116838488,0.0,0.0
0,20,0.3,random,3,2,17,7,mlp_table,True,True,23,23,88,0.00045591600064653903,,2.1340223620437673,10.345721392522243,3.2164765493505847,0.47766323024054985,0.5189003436426117,0.27147766323024053,0.0,2.0549564361572266
0,20,0.3,random,3,2,17,7,unet,True,True,23,23,74,0.0003787910009123152,,2.125940179535511,7.706431343567353,2.7760459908955673,0.40893470790378006,0.5910652920962199,0.15807560137457044,0.024054982817869417,6.021734237670898
1,20,0.3,random,2,5,9,3,dijkstra,True,True,11,11,90,0.00018320799972570967,,14.268482490272374,239.8326848249027,15.486532369284697,0.9961089494163424,0.0,0.9649805447470817,0.0,0.0
1,20,0.3,random,2,5,9,3,manhattan,True,True,11,11,31,7.358400034718215e-05,,2.178988326848249,7.003891050583658,2.646486548347385,0.8171206225680934,0.0,0.2140077821011673,0.0,0.0
1,20,0.3,random,2,5,9,3,mlp_table,True,True,11,11,18,0.0003072910003538709,,1.4231202662686893,3.484019629631609,1.866552873516207,0.7276264591439688,0.26848249027237353,0.14785992217898833,0.0,1.2625961303710938
1,20,0.3,random,2,5,9,3,unet,True,True,11,11,24,0.00013466699965647422,,2.279775900367633,7.17638715419121,2.678877965527958,0.13229571984435798,0.867704280155642,0.007782101167315175,0.2178988326848249,8.290740966796875
2,20,0.3,random,7,1,10,2,dijkstra,True,True,4,4,13,2.7249998311162926e-05,,15.643979057591624,309.8324607329843,17.602058423178363,0.9947643979057592,0.0,0.9476439790575916,0.0,0.0
2,20,0.3,random,7,1,10,2,manhattan,True,True,4,4,6,1.6040999980759807e-05,,4.198952879581152,42.53403141361257,6.521811973187556,0.5602094240837696,0.0,0.42408376963350786,0.0,0.0
2,20,0.3,random,7,1,10,2,mlp_table,True,True,4,4,5,3.770800140046049e-05,,3.5218411559209772,27.961239180311047,5.287838800522483,0.5549738219895288,0.4397905759162304,0.418848167539267,0.0,1.209306240081787
2,20,0.3,random,7,1,10,2,unet,True,True,4,4,5,3.604199991968926e-05,,3.33321225846001,16.418651842170224,4.051993563934946,0.4031413612565445,0.5968586387434555,0.2774869109947644,0.24083769633507854,7.2312469482421875
0,20,0.4,random,6,0,2,11,dijkstra,True,True,19,19,92,0.0001797499990061624,,26.730337078651687,836.8089887640449,28.92765093753803,0.9943820224719101,0.0,0.9550561797752809,0.0,0.0
