seed,map_size,obstacle_rate,map_mode,structured_type,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,structured,maze_like,random,10,15,2,16,manhattan,True,True,9,9,12,3.23329986713361e-05,,3.8785714285714286,49.957142857142856,7.068036704569583,0.5535714285714286,0.0,0.44285714285714284,0.0,0.0
0,20,0.1,structured,maze_like,random,10,15,2,16,mlp_table,True,True,9,9,10,7.408300007227808e-05,,3.8171719219003406,45.88776129496734,6.774050582551576,0.5071428571428571,0.48928571428571427,0.3107142857142857,0.007142857142857143,3.200124740600586
0,20,0.1,structured,maze_like,random,10,15,2,16,unet,True,True,9,9,12,8.17909967736341e-05,,3.3509823842772417,34.11260997786558,5.8406001385016575,0.425,0.575,0.19285714285714287,0.09642857142857143,5.601806640625
1,20,0.1,structured,maze_like,random,10,0,0,13,dijkstra,True,True,23,23,133,0.00040783399890642613,,18.05190311418685,412.55709342560556,20.31150150593514,0.9965397923875432,0.0,0.9515570934256056,0.0,0.0
1,20,0.1,structured,maze_like,random,10,0,0,13,manhattan,True,True,23,23,48,0.00011491600162116811,,3.086505190311419,26.02076124567474,5.101054914983247,0.4844290657439446,0.0,0.40484429065743943,0.0,0.0
1,20,0.1,structured,maze_like,random,10,0,0,13,mlp_table,True,True,23,23,52,0.0003063750009459909,,2.974428184717172,19.34895231164962,4.398744401718474,0.4671280276816609,0.5294117647058824,0.2975778546712803,0.01730103806228374,3.9508190155029297
1,20,0.1,structured,maze_like,random,10,0,0,13,unet,True,True,23,23,58,0.0002859170017472934,,2.5422123876822447,12.119810905209064,3.4813518789701603,0.44982698961937717,0.5501730103806228,0.19377162629757785,0.12802768166089964,7.09916877746582
2,20,0.1,structured,maze_like,random,4,6,7,5,dijkstra,True,True,4,4,26,5.879200034542009e-05,,25.767857142857142,845.4178571428571,29.076070180525722,0.9964285714285714,0.0,0.9535714285714286,0.0,0.0
2,20,0.1,structured,maze_like,random,4,6,7,5,manhattan,True,True,4,4,8,2.2083000658312812e-05,,13.664285714285715,326.87142857142857,18.07958596238942,0.7214285714285714,0.0,0.7035714285714286,0.0,0.0
2,20,0.1,structured,maze_like,random,4,6,7,5,mlp_table,True,True,4,4,5,4.4167001760797575e-05,,13.095423866169794,300.64924732060496,17.33924010216725,0.7285714285714285,0.26785714285714285,0.7,0.0,2.372624397277832
