seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
11,20,0.1,random,14,19,10,4,unet,True,True,19,19,42,0.0002675420000741724,,1.0504297733306884,1.7519236519379215,1.3236025279282,0.675,0.325,0.008333333333333333,0.0,2.6784591674804688
12,20,0.1,random,6,9,17,17,dijkstra,True,True,19,19,347,0.0007830000013200333,,15.4141689373297,295.46866485013624,17.189201984098514,0.997275204359673,0.0,0.9400544959128065,0.0,0.0
12,20,0.1,random,6,9,17,17,manhattan,True,True,19,19,103,0.0002885000012611272,,0.010899182561307902,0.021798365122615803,0.14764269410511244,0.005449591280653951,0.0,0.0,0.0,0.0
12,20,0.1,random,6,9,17,17,mlp_table,True,True,19,19,50,0.0003264999995735707,,1.1718944580743358,2.431823880369876,1.559430626982129,0.008174386920980926,0.989100817438692,0.0,0.08446866485013624,4.910266876220703
12,20,0.1,random,6,9,17,17,unet,True,True,19,19,85,0.0005303749985614559,,0.8632550982590917,1.3324660244848312,1.1543249215384856,0.547683923705722,0.45231607629427795,0.0,0.02997275204359673,3.854778289794922
13,20,0.1,random,6,8,0,11,dijkstra,True,True,9,9,128,0.00027962500098510645,,14.522222222222222,254.75,15.960889699512368,0.9972222222222222,0.0,0.9555555555555556,0.0,0.0
13,20,0.1,random,6,8,0,11,manhattan,True,True,9,9,22,5.716699888580479e-05,,0.06666666666666667,0.13333333333333333,0.3651483716701107,0.03333333333333333,0.0,0.0,0.0,0.0
13,20,0.1,random,6,8,0,11,mlp_table,True,True,9,9,10,8.766599967202637e-05,,1.1203401972850164,1.9471427661067593,1.3954005755003684,0.002777777777777778,0.9944444444444445,0.0,0.04722222222222222,3.9410762786865234
13,20,0.1,random,6,8,0,11,unet,True,True,9,9,28,0.00016929200137383305,,1.0379154978526963,1.4984002867757933,1.2240916169861606,0.7333333333333333,0.26666666666666666,0.0,0.011111111111111112,4.422484397888184
14,20,0.1,random,6,9,12,14,dijkstra,True,True,11,11,203,0.0004331250001996523,,11.655737704918034,164.0983606557377,12.810088237624974,0.9972677595628415,0.0,0.9398907103825137,0.0,0.0
