seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
6,20,0.1,unet,True,True,38,38,195,0.0012012090010102838,1.5515835882902813,4.682960849397789,2.164014983635231,0.484593837535014,0.5154061624649859,0.011204481792717087,0.12324929971988796,9.494636535644531
7,20,0.1,dijkstra,True,True,38,38,356,0.0007395840002573095,19.634831460674157,444.40449438202245,21.080903547571733,0.9971910112359551,0.0,0.9831460674157303,0.0,0.0
7,20,0.1,manhattan,True,True,38,38,323,0.000787875000241911,0.6460674157303371,2.258426966292135,1.502806363538608,0.2050561797752809,0.0,0.1151685393258427,0.0,0.0
7,20,0.1,mlp_table,True,True,38,38,146,0.0007604160000482807,0.8704467104392105,1.3420601206211864,1.1584731851109833,0.15730337078651685,0.8398876404494382,0.0028089887640449437,0.011235955056179775,3.193187713623047
7,20,0.1,unet,True,True,38,38,179,0.001027750000503147,2.3427357104387174,11.511941640110523,3.3929252334984517,0.21067415730337077,0.7893258426966292,0.011235955056179775,0.2556179775280899,10.701301574707031
8,20,0.1,dijkstra,True,True,38,38,366,0.0007763339999655727,18.994535519125684,427.75956284153006,20.682349064879695,0.9972677595628415,0.0,0.9726775956284153,0.0,0.0
8,20,0.1,manhattan,True,True,38,38,306,0.0007248339989018859,0.11475409836065574,0.33879781420765026,0.5820634108133325,0.04644808743169399,0.0,0.00819672131147541,0.0,0.0
8,20,0.1,mlp_table,True,True,38,38,126,0.0006659169994236436,1.011272632684864,1.8697732741187925,1.3673965314124474,0.030054644808743168,0.9672131147540983,0.0,0.05737704918032787,4.437534332275391
8,20,0.1,unet,True,True,38,38,227,0.0013095410013193032,1.4722636026111457,3.894143229585388,1.9733583631934135,0.48633879781420764,0.5136612021857924,0.00819672131147541,0.10109289617486339,7.912025451660156
9,20,0.1,dijkstra,True,True,38,38,347,0.0007224170003610197,19.135446685878964,433.8155619596542,20.828239530974628,0.9971181556195965,0.0,0.9711815561959655,0.0,0.0
9,20,0.1,manhattan,True,True,38,38,262,0.0006229580012586666,0.345821325648415,1.106628242074928,1.0519639927654025,0.13256484149855907,0.0,0.03170028818443804,0.0,0.0
9,20,0.1,mlp_table,True,True,38,38,124,0.0007083340005920036,0.8531067972567995,1.3902919256231334,1.1791064097964752,0.08357348703170028,0.9135446685878963,0.0,0.037463976945244955,4.133249282836914
9,20,0.1,unet,True,True,38,38,223,0.0012490000008256175,1.322877958116339,2.8599877320144813,1.6911498254189312,0.5763688760806917,0.42363112391930835,0.008645533141210375,0.069164265129683,6.017127990722656
10,20,0.1,dijkstra,True,True,38,38,355,0.0007451250003214227,19.346478873239437,441.1267605633803,21.003017891802603,0.9971830985915493,0.0,0.971830985915493,0.0,0.0
10,20,0.1,manhattan,True,True,38,38,344,0.0008011659992916975,0.18028169014084508,0.5633802816901409,0.7505866250408015,0.0647887323943662,0.0,0.02535211267605634,0.0,0.0
10,20,0.1,mlp_table,True,True,38,38,151,0.0007905830007075565,0.9714313805942804,1.8873830249679062,1.373820594170835,0.056338028169014086,0.9408450704225352,0.0,0.05070422535211268,5.396686553955078
10,20,0.1,unet,True,True,38,38,250,0.001651458000196726,1.4185615260836104,4.0314262990285705,2.0078412036385176,0.5521126760563381,0.447887323943662,0.005633802816901409,0.09859154929577464,9.729534149169922
11,20,0.1,dijkstra,True,True,38,38,360,0.0007579170014651027,18.975,424.2083333333333,20.596318441248993,0.9972222222222222,0.0,0.9805555555555555,0.0,0.0
11,20,0.1,manhattan,True,True,38,38,314,0.0007296670009964146,0.13333333333333333,0.26666666666666666,0.5163977794943222,0.06666666666666667,0.0,0.0,0.0,0.0
11,20,0.1,mlp_table,True,True,38,38,148,0.0007437500007654307,1.0499855816364287,2.1167975962032193,1.4549218522667187,0.03888888888888889,0.9583333333333334,0.0,0.058333333333333334,5.396686553955078
11,20,0.1,unet,True,True,38,38,209,0.0012716670007648645,2.2079880932966867,10.181503168285891,3.1908467791929294,0.26666666666666666,0.7333333333333333,0.008333333333333333,0.25833333333333336,12.632453918457031
12,20,0.1,dijkstra,True,True,38,38,367,0.0007699170000705635,18.82016348773842,421.51771117166214,20.530896501898354,0.997275204359673,0.0,0.9727520435967303,0.0,0.0
12,20,0.1,manhattan,True,True,38,38,283,0.0006720830006088363,0.04904632152588556,0.09809264305177112,0.31319745058312837,0.02452316076294278,0.0,0.0,0.0,0.0
12,20,0.1,mlp_table,True,True,38,38,133,0.0007529590002377518,1.0949278595661922,2.273208431549456,1.5077162967711983,0.02452316076294278,0.9727520435967303,0.0,0.07901907356948229,4.694330215454102
12,20,0.1,unet,True,True,38,38,173,0.0009869590012385743,1.6470539241785573,5.036878450488758,2.244299100050784,0.44959128065395093,0.5504087193460491,0.008174386920980926,0.14713896457765668,8.321468353271484
13,20,0.1,dijkstra,True,True,38,38,360,0.000758000000132597,19.516666666666666,446.1166666666667,21.12147406472064,0.9972222222222222,0.0,0.9777777777777777,0.0,0.0
13,20,0.1,manhattan,True,True,38,38,315,0.000731541998902685,0.17777777777777778,0.4222222222222222,0.6497862896539309,0.08055555555555556,0.0,0.008333333333333333,0.0,0.0
13,20,0.1,mlp_table,True,True,38,38,141,0.0008091250001598382,0.9508187840382258,1.5964994616994022,1.2635265971476035,0.05,0.9472222222222222,0.0,0.030555555555555555,3.5638694763183594
