seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
8,20,0.1,manhattan,True,True,38,38,306,0.0007194170011644019,0.11475409836065574,0.33879781420765026,0.5820634108133325,0.04644808743169399,0.0,0.00819672131147541,0.0,0.0
8,20,0.1,mlp_table,True,True,38,38,126,0.0006715420004184125,1.011272632684864,1.8697732741187925,1.3673965314124474,0.030054644808743168,0.9672131147540983,0.0,0.05737704918032787,4.437534332275391
8,20,0.1,unet,True,True,38,38,232,0.001297500000873697,1.4756240242165946,4.231623530228495,2.057091035960367,0.5765027322404371,0.42349726775956287,0.01366120218579235,0.1284153005464481,7.542535781860352
9,20,0.1,dijkstra,True,True,38,38,347,0.000705209000443574,19.135446685878964,433.8155619596542,20.828239530974628,0.9971181556195965,0.0,0.9711815561959655,0.0,0.0
9,20,0.1,manhattan,True,True,38,38,262,0.0006107080007495824,0.345821325648415,1.106628242074928,1.0519639927654025,0.13256484149855907,0.0,0.03170028818443804,0.0,0.0
9,20,0.1,mlp_table,True,True,38,38,124,0.0006482500011770753,0.8531067972567995,1.3902919256231334,1.1791064097964752,0.08357348703170028,0.9135446685878963,0.0,0.037463976945244955,4.133249282836914
9,20,0.1,unet,True,True,38,38,222,0.0012008329995296663,1.3634077262466167,3.3091176914014317,1.8190980433724377,0.622478386167147,0.37752161383285304,0.01440922190201729,0.08069164265129683,6.720252990722656
10,20,0.1,dijkstra,True,True,38,38,355,0.000805874999059597,19.346478873239437,441.1267605633803,21.003017891802603,0.9971830985915493,0.0,0.971830985915493,0.0,0.0
10,20,0.1,manhattan,True,True,38,38,344,0.0007925829995656386,0.18028169014084508,0.5633802816901409,0.7505866250408015,0.0647887323943662,0.0,0.02535211267605634,0.0,0.0
10,20,0.1,mlp_table,True,True,38,38,151,0.0007544580003013834,0.9714313805942804,1.8873830249679062,1.373820594170835,0.056338028169014086,0.9408450704225352,0.0,0.05070422535211268,5.396686553955078
10,20,0.1,unet,True,True,38,38,256,0.0013877080000384012,1.4386361206081553,4.401337561294988,2.0979365007776063,0.5690140845070423,0.4309859154929577,0.011267605633802818,0.11267605633802817,9.386445999145508
11,20,0.1,dijkstra,True,True,38,38,360,0.0007337499991990626,18.975,424.2083333333333,20.596318441248993,0.9972222222222222,0.0,0.9805555555555555,0.0,0.0
11,20,0.1,manhattan,True,True,38,38,314,0.0007206669997685822,0.13333333333333333,0.26666666666666666,0.5163977794943222,0.06666666666666667,0.0,0.0,0.0,0.0
11,20,0.1,mlp_table,True,True,38,38,148,0.000730624999050633,1.0499855816364287,2.1167975962032193,1.4549218522667187,0.03888888888888889,0.9583333333333334,0.0,0.058333333333333334,5.396686553955078
11,20,0.1,unet,True,True,38,38,228,0.0012215419992571697,2.0212518764866725,9.018052329048519,3.003007214285127,0.30277777777777776,0.6972222222222222,0.008333333333333333,0.24444444444444444,11.987598419189453
12,20,0.1,dijkstra,True,True,38,38,367,0.0007857500004320173,18.82016348773842,421.51771117166214,20.530896501898354,0.997275204359673,0.0,0.9727520435967303,0.0,0.0
12,20,0.1,manhattan,True,True,38,38,283,0.0006801250001444714,0.04904632152588556,0.09809264305177112,0.31319745058312837,0.02452316076294278,0.0,0.0,0.0,0.0
12,20,0.1,mlp_table,True,True,38,38,133,0.0006808749985793838,1.0949278595661922,2.273208431549456,1.5077162967711983,0.02452316076294278,0.9727520435967303,0.0,0.07901907356948229,4.694330215454102
12,20,0.1,unet,True,True,38,38,219,0.0013937910007371102,1.5519380111460466,5.020653333694478,2.2406814440465377,0.4986376021798365,0.5013623978201635,0.013623978201634877,0.16348773841961853,8.928531646728516
13,20,0.1,dijkstra,True,True,38,38,360,0.0007420410001941491,19.516666666666666,446.1166666666667,21.12147406472064,0.9972222222222222,0.0,0.9777777777777777,0.0,0.0
