case_id,case_category,seed,obstacle_rate,path_length,optimal_cost,manhattan_path_length,unet_expanded_nodes,manhattan_expanded_nodes,mlp_table_expanded_nodes,unet_minus_manhattan_expanded,unet_minus_mlp_expanded,mae,mse,overestimate_rate,underestimate_rate,max_overestimate,max_underestimate,local_consistency_violation_rate,local_consistency_mean_violation,local_consistency_max_violation,obstacle_density,largest_obstacle_block_rate,corridor_rate,path_corridor_rate,articulation_rate,path_articulation_rate,manhattan_optimal_path_overlap,unet_optimal_path_overlap,structure_labels,near_goal_mean_abs_error,near_goal_max_abs_error,near_goal_cells,near_obstacle_mean_abs_error,near_obstacle_max_abs_error,near_obstacle_cells,corridor_mean_abs_error,corridor_max_abs_error,corridor_cells,bottleneck_mean_abs_error,bottleneck_max_abs_error,bottleneck_cells,optimal_path_mean_abs_error,optimal_path_max_abs_error,optimal_path_cells,other_mean_abs_error,other_max_abs_error,other_cells
unet_better_than_manhattan_rate0.1_seed19_size20,unet_better_than_manhattan,19,0.1,38,38,38,260,353,140,-93,120,1.2936585668744989,3.574414969019974,0.39664804469273746,0.6033519553072626,8.579654693603516,-5.617763519287109,0.23427152317880795,0.3362354137029749,2.840547561645508,0.105,0.005,0.09497206703910614,0.10256410256410256,0.008379888268156424,0.0,1.0,0.05405405405405406,open space; multiple alternative routes,1.0575559933980305,4.496677398681641,18,1.4288390183702429,8.579654693603516,188,1.6771113031050737,8.579654693603516,34,3.2669642766316733,4.860982894897461,3,0.8893403059396988,5.617763519287109,39,1.2092374021356755,5.291376113891602,154
unet_better_than_manhattan_rate0.1_seed1_size20,unet_better_than_manhattan,1,0.1,38,38,38,191,307,137,-116,54,1.7735564507229227,7.072201091100791,0.7183098591549296,0.28169014084507044,9.798995971679688,-5.587825775146484,0.23427152317880795,0.4256811567414355,2.560649871826172,0.1125,0.0075,0.12394366197183099,0.15384615384615385,0.03380281690140845,0.05128205128205128,1.0,0.18181818181818182,open space; multiple alternative routes,1.9808766484260558,5.97027587890625,20,2.5570946669428603,9.798995971679688,159,3.221112687479366,8.70772933959961,44,3.4883623123168945,7.600456237792969,12,1.6796568876657731,5.587825775146484,39,1.0635718626134536,7.464473724365234,170
unet_better_than_manhattan_rate0.1_seed20_size20,unet_better_than_manhattan,20,0.1,38,38,38,243,346,142,-103,101,1.5361579217586572,4.770055723013984,0.5439093484419264,0.45609065155807366,7.215736389160156,-5.555976867675781,0.2164685908319185,0.3683526824502384,2.6150593757629395,0.1175,0.01,0.13031161473087818,0.23076923076923078,0.0169971671388102,0.07692307692307693,1.0,0.16417910447761194,open space; multiple alternative routes,1.1387695537673101,3.378324508666992,18,1.8378697273495432,7.215736389160156,182,2.3309448776037796,6.773311614990234,46,2.7421711683273315,7.215736389160156,6,3.053914922934312,7.215736389160156,39,1.1927843853166908,5.964818954467773,157
unet_better_than_manhattan_rate0.1_seed21_size20,unet_better_than_manhattan,21,0.1,38,38,38,178,300,133,-122,45,1.8683637471779886,7.617839648032041,0.6657223796033994,0.3342776203966006,10.01922607421875,-5.174381256103516,0.21548821548821548,0.4326398828998208,2.973325729370117,0.1175,0.01,0.12181303116147309,0.10256410256410256,0.0028328611898017,0.02564102564102564,1.0,0.23809523809523808,open space; multiple alternative routes,1.4833179632822673,5.587883949279785,15,2.059545048077901,9.99778938293457,180,2.242135009100271,7.648088455200195,43,0.8140459060668945,0.8140459060668945,1,1.3828628735664563,5.174381256103516,39,1.7380429945494,10.01922607421875,152
unet_better_than_manhattan_rate0.1_seed3_size20,unet_better_than_manhattan,3,0.1,38,38,38,238,329,132,-91,106,1.6079920725689993,5.607878926304242,0.46111111111111114,0.5388888888888889,9.992021560668945,-6.414299011230469,0.23376623376623376,0.3364795135955016,3.0389256477355957,0.1,0.01,0.10555555555555556,0.1794871794871795,0.0,0.0,1.0,0.04,open space; multiple alternative routes,1.0366672608587477,4.949131965637207,18,1.9580572696293101,9.992021560668945,170,2.3055954230459115,8.283798217773438,38,0.0,0.0,0,1.9977889977968657,6.414299011230469,39,1.2843708904242954,7.331033706665039,163
unet_better_than_manhattan_rate0.1_seed4_size20,unet_better_than_manhattan,4,0.1,38,38,38,171,239,123,-68,48,2.500233940863877,12.742549518469454,0.8398876404494382,0.1601123595505618,11.353012084960938,-5.262920379638672,0.22073578595317725,0.4485559680245139,3.084585666656494,0.11,0.0075,0.10955056179775281,0.2564102564102564,0.011235955056179775,0.0,1.0,0.02631578947368421,open space; multiple alternative routes,2.575850536948756,6.963120460510254,19,2.7133064733969197,11.21645736694336,185,2.7392999025491567,8.650527954101562,39,2.0734981298446655,5.2666778564453125,4,2.1202258941454764,5.262920379638672,39,2.2840387213463877,11.353012084960938,153
unet_better_than_manhattan_rate0.1_seed5_size20,unet_better_than_manhattan,5,0.1,38,38,38,186,292,124,-106,62,1.7658100081943078,5.96748188454447,0.7119113573407202,0.2880886426592798,8.311328887939453,-5.5261077880859375,0.23107890499194847,0.39053136546437334,1.7264595031738281,0.0975,0.0075,0.09141274238227147,0.1282051282051282,0.01662049861495845,0.02564102564102564,1.0,0.08333333333333333,open space; multiple alternative routes,1.1474921533039637,3.697798728942871,14,2.2812625693111883,8.311328887939453,164,3.1431675390763716,8.311328887939453,33,1.6932388544082642,5.5226593017578125,6,2.231976790305896,5.933034896850586,39,1.3188247938413877,6.643424987792969,185
unet_better_than_manhattan_rate0.1_seed6_size20,unet_better_than_manhattan,6,0.1,38,38,38,206,263,120,-57,86,1.5011495862688338,4.838979424692354,0.49019607843137253,0.5098039215686274,9.068599700927734,-5.481143951416016,0.22682119205298013,0.35559645273389606,2.643721580505371,0.1075,0.01,0.10364145658263306,0.1282051282051282,0.0056022408963585435,0.0,1.0,0.08333333333333333,open space; multiple alternative routes,1.085257077217102,4.489703178405762,20,1.7095371871204166,9.068599700927734,182,1.8020418560182727,9.068599700927734,37,0.498748779296875,0.6798858642578125,2,1.4763878706174018,5.481143951416016,39,1.313772654869187,6.755462646484375,142
unet_better_than_manhattan_rate0.1_seed7_size20,unet_better_than_manhattan,7,0.1,38,38,38,200,323,146,-123,54,2.175634766562601,9.422175167989918,0.800561797752809,0.199438202247191,9.903144836425781,-6.252725601196289,0.20881863560732114,0.48993600792143926,2.723928451538086,0.11,0.005,0.10955056179775281,0.1282051282051282,0.016853932584269662,0.07692307692307693,1.0,0.18181818181818182,open space; multiple alternative routes,1.369463161988692,2.139375686645508,11,2.589162200184192,9.903144836425781,177,2.6871515726431823,6.981151580810547,39,1.1800576051076253,1.9728240966796875,6,2.455712813597459,6.252725601196289,39,1.7169340031701814,7.995046615600586,159
unet_better_than_manhattan_rate0.1_seed8_size20,unet_better_than_manhattan,8,0.1,38,38,38,232,306,126,-74,106,1.4756240242165946,4.231623530228495,0.42349726775956287,0.5765027322404371,7.542535781860352,-5.972171783447266,0.23442367601246106,0.33782790071544455,2.9816932678222656,0.0825,0.0075,0.07629427792915532,0.15384615384615385,0.005449591280653951,0.0,1.0,0.02631578947368421,open space; multiple alternative routes,1.201326568921407,4.457704544067383,21,1.8647896561183428,7.542535781860352,152,2.566910562691865,5.972171783447266,27,4.688246726989746,5.113502502441406,2,2.3048066237033944,5.972171783447266,39,1.210457799322318,6.88728141784668,191
