ranking_lambda,scope,cases,mae,mse,tie_set_ordering_accuracy,direct_unet_mean_expanded_nodes,direct_unet_optimality_rate,unet_tiebreak_mean_expanded_nodes,unet_tiebreak_optimality_rate,case_id,structure_type,pairwise_ordering_accuracy,pairwise_pairs,tie_set_decisions,algorithm,expanded_nodes,path_cost,optimal_cost,optimal
0.1,prediction,,0.49201871895454297,0.3798697103803866,1.0,,,,,test_4602,narrow_corridor,0.984375,512,18,,,,,
0.1,prediction,,0.43178035277072513,0.2738151677010146,1.0,,,,,test_4603,narrow_corridor,0.998046875,512,15,,,,,
0.1,prediction,,0.745171482618465,0.9002988117801508,1.0,,,,,test_4604,narrow_corridor,0.96875,512,13,,,,,
0.1,prediction,,0.6136869463562405,0.5984218540445411,1.0,,,,,test_4605,narrow_corridor,0.98828125,512,22,,,,,
0.1,prediction,,0.4892870891425345,0.3380482624713376,1.0,,,,,test_4606,narrow_corridor,0.998046875,512,22,,,,,
0.1,prediction,,0.5631098350813223,0.49759841783461767,1.0,,,,,test_4607,narrow_corridor,0.994140625,512,85,,,,,
0.1,prediction,,0.5418254439259919,0.4338072912315334,1.0,,,,,test_4608,narrow_corridor,0.998046875,512,7,,,,,
0.1,prediction,,0.41566422888051685,0.3096287816343489,1.0,,,,,test_4609,narrow_corridor,0.98046875,512,10,,,,,
0.1,prediction,,0.34183926942736603,0.1712744678565896,1.0,,,,,test_4610,narrow_corridor,0.994140625,512,6,,,,,
0.1,prediction,,0.44109764165967424,0.30084742297324546,1.0,,,,,test_4611,narrow_corridor,0.994140625,512,7,,,,,
0.1,prediction,,0.3424588114716286,0.1836709320067365,1.0,,,,,test_4612,narrow_corridor,0.998046875,512,6,,,,,
0.1,prediction,,0.7457185275149796,1.8243889260636714,1.0,,,,,test_4613,narrow_corridor,0.99609375,512,7,,,,,
0.1,prediction,,0.6844872835083543,0.7138968110018011,1.0,,,,,test_4614,narrow_corridor,1.0,512,9,,,,,
0.1,prediction,,0.9398116619787483,1.3718117230506588,1.0,,,,,test_4615,narrow_corridor,0.97265625,512,10,,,,,
0.1,prediction,,0.614044142323871,0.5882779571932716,0.0,,,,,test_4616,narrow_corridor,0.984375,512,0,,,,,
0.1,prediction,,0.7328789004697486,5.068377778323668,1.0,,,,,test_4617,narrow_corridor,0.98046875,512,10,,,,,
0.1,prediction,,0.5145471353863561,0.4274916324276253,0.0,,,,,test_4618,narrow_corridor,0.990234375,512,0,,,,,
0.1,prediction,,0.6833637067013316,0.808683092084493,0.0,,,,,test_4619,narrow_corridor,0.998046875,512,0,,,,,
0.1,prediction,,0.5011653911184382,0.4523351147573492,1.0,,,,,test_4620,narrow_corridor,0.990234375,512,17,,,,,
0.1,prediction,,0.6064131937116525,0.651924249011222,1.0,,,,,test_4621,narrow_corridor,0.990234375,512,23,,,,,
0.1,prediction,,0.5106235681578171,0.42809465321937484,1.0,,,,,test_4622,narrow_corridor,0.98046875,512,17,,,,,
0.1,prediction,,0.35132247153843676,0.19248011797927847,1.0,,,,,test_4623,narrow_corridor,0.994140625,512,10,,,,,
0.1,prediction,,0.6954765311507292,0.6012137217211637,1.0,,,,,test_4624,narrow_corridor,0.99609375,512,7,,,,,
0.1,prediction,,0.5362790683420693,0.49099559074361965,1.0,,,,,test_4625,narrow_corridor,0.98828125,512,6,,,,,
0.1,prediction,,0.3680116360627332,0.22636069987763732,1.0,,,,,test_4626,narrow_corridor,0.994140625,512,7,,,,,
0.1,prediction,,0.4035571942142412,0.28942873540941466,1.0,,,,,test_4627,narrow_corridor,0.978515625,512,6,,,,,
0.1,prediction,,0.6107177966489241,0.5753096694323795,1.0,,,,,test_4628,narrow_corridor,0.978515625,512,8,,,,,
0.1,prediction,,0.4544927579106636,0.3478156029124156,1.0,,,,,test_4629,narrow_corridor,0.9921875,512,7,,,,,
0.1,prediction,,1.3718043542602687,2.4122139424481825,1.0,,,,,test_4630,narrow_corridor,0.97265625,512,15,,,,,
0.1,prediction,,0.44868635171797216,0.304030930095825,1.0,,,,,test_4631,narrow_corridor,0.982421875,512,8,,,,,
0.1,prediction,,0.6450549011747239,0.6653474771010086,1.0,,,,,test_4632,narrow_corridor,0.982421875,512,10,,,,,
0.1,prediction,,0.5557940144469773,0.4852311623516525,1.0,,,,,test_4633,narrow_corridor,0.99609375,512,7,,,,,
0.1,prediction,,0.47946109841851625,0.3738526817352421,1.0,,,,,test_4634,narrow_corridor,0.994140625,512,4,,,,,
0.1,prediction,,0.4541124833954705,0.3288793217738851,1.0,,,,,test_4635,narrow_corridor,0.99609375,512,6,,,,,
0.1,prediction,,0.41843460196430243,0.3217864632220265,1.0,,,,,test_4636,narrow_corridor,0.990234375,512,9,,,,,
0.1,prediction,,0.344739323338637,0.2025892294220636,1.0,,,,,test_4637,narrow_corridor,0.9921875,512,8,,,,,
0.1,prediction,,0.4535504018051037,0.3455192176431734,1.0,,,,,test_4638,narrow_corridor,0.98828125,512,6,,,,,
0.1,prediction,,0.3839349395411026,0.23247310573465443,1.0,,,,,test_4639,narrow_corridor,0.99609375,512,6,,,,,
0.1,prediction,,0.7719976196241616,0.9607409016866575,1.0,,,,,test_4640,narrow_corridor,0.99609375,512,7,,,,,
0.1,prediction,,0.6377300536574949,0.5890997134969302,1.0,,,,,test_4641,narrow_corridor,0.9921875,512,10,,,,,
0.1,prediction,,0.5451094924223305,0.46793169056743206,0.0,,,,,test_4642,narrow_corridor,1.0,512,0,,,,,
0.1,prediction,,0.3770363703737118,0.22803523785031593,1.0,,,,,test_4643,narrow_corridor,0.994140625,512,7,,,,,
0.1,prediction,,0.31704651879576534,0.1960932273946696,0.0,,,,,test_4644,narrow_corridor,0.998046875,512,0,,,,,
0.1,prediction,,0.39939001636597715,0.24528907427729849,1.0,,,,,test_4645,narrow_corridor,0.9921875,512,9,,,,,
0.1,prediction,,0.38425300075012503,0.23772710861521665,1.0,,,,,test_4646,narrow_corridor,0.998046875,512,6,,,,,
0.1,prediction,,11.961847246856225,256.17096630794595,1.0,,,,,test_4647,narrow_corridor,1.0,512,8,,,,,
0.1,prediction,,0.5906983055719515,0.5053659278669191,1.0,,,,,test_4648,narrow_corridor,0.998046875,512,14,,,,,
0.1,prediction,,13.357657497103622,319.8013011520778,1.0,,,,,test_4649,narrow_corridor,0.99609375,512,12,,,,,
0.1,prediction,,0.8511456111582314,1.721422032011761,1.0,,,,,test_4650,narrow_corridor,0.986328125,512,7,,,,,
0.1,prediction,,0.5296422996941734,2.034729303633827,1.0,,,,,test_4651,narrow_corridor,0.98828125,512,9,,,,,
0.1,prediction,,0.5156408024997245,0.4357271836887,1.0,,,,,test_4652,narrow_corridor,0.998046875,512,12,,,,,
0.1,prediction,,0.40810248567097224,0.32044375210099024,1.0,,,,,test_4653,narrow_corridor,0.982421875,512,7,,,,,
0.1,prediction,,13.510775039642315,321.1385625274116,1.0,,,,,test_4654,narrow_corridor,0.982421875,512,3,,,,,
0.1,prediction,,11.130556935188817,279.25630489749835,0.0,,,,,test_4655,narrow_corridor,0.998046875,512,0,,,,,
0.1,prediction,,0.3627569079399109,0.2388359962547582,1.0,,,,,test_4656,narrow_corridor,0.99609375,512,6,,,,,
0.1,prediction,,0.5804165363311767,0.5656901177677378,1.0,,,,,test_4657,narrow_corridor,0.99609375,512,7,,,,,
0.1,prediction,,0.5467623640851277,0.43483217644535843,0.0,,,,,test_4658,narrow_corridor,1.0,512,0,,,,,
0.1,prediction,,0.5317544451037657,0.5331795248625969,1.0,,,,,test_4659,narrow_corridor,0.98046875,512,7,,,,,
0.1,prediction,,0.9371971103358151,1.3413569267022718,1.0,,,,,test_4660,narrow_corridor,0.982421875,512,4,,,,,
0.1,prediction,,0.6556873832847557,0.623765144752645,1.0,,,,,test_4661,narrow_corridor,0.990234375,512,6,,,,,
0.1,prediction,,0.4664421541856067,0.36027048477309537,1.0,,,,,test_4662,narrow_corridor,0.990234375,512,7,,,,,
0.1,prediction,,0.7605041541704317,0.7095495264759658,1.0,,,,,test_4663,narrow_corridor,0.99609375,512,8,,,,,
0.1,prediction,,0.5236245493094126,0.4644821650799807,0.0,,,,,test_4664,narrow_corridor,0.98828125,512,0,,,,,
0.1,prediction,,0.40711113220394246,0.2590869496615644,1.0,,,,,test_4665,narrow_corridor,0.998046875,512,7,,,,,
0.1,prediction,,0.5388621222046972,0.4635221948592662,1.0,,,,,test_4666,narrow_corridor,0.9765625,512,7,,,,,
0.1,prediction,,0.45522881385225517,0.32066252052114314,1.0,,,,,test_4667,narrow_corridor,0.9921875,512,6,,,,,
0.1,prediction,,0.8388181487143328,1.0198906527227678,1.0,,,,,test_4668,narrow_corridor,0.994140625,512,6,,,,,
0.1,prediction,,0.49932441335593536,0.40261829085308315,1.0,,,,,test_4669,narrow_corridor,0.99609375,512,5,,,,,
0.1,prediction,,0.5244876954613662,0.4138305769437202,1.0,,,,,test_4670,narrow_corridor,0.994140625,512,7,,,,,
0.1,prediction,,0.9400125674426262,1.1097603664466789,1.0,,,,,test_4671,narrow_corridor,0.98828125,512,8,,,,,
0.1,prediction,,0.5325027933261665,0.47200631577030194,1.0,,,,,test_4672,narrow_corridor,0.966796875,512,5,,,,,
0.1,prediction,,0.48031629008405347,0.8345771817590911,1.0,,,,,test_4673,narrow_corridor,0.986328125,512,7,,,,,
0.1,prediction,,0.4351229496951242,0.6512229073723478,1.0,,,,,test_4674,narrow_corridor,0.994140625,512,6,,,,,
0.1,prediction,,0.45078218681056326,0.3038760313103961,1.0,,,,,test_4675,narrow_corridor,0.99609375,512,10,,,,,
0.1,prediction,,0.7033091559268461,0.7114836262686207,0.0,,,,,test_4676,narrow_corridor,0.99609375,512,0,,,,,
0.1,prediction,,12.02504513983799,312.4252382030862,1.0,,,,,test_4677,narrow_corridor,0.951171875,512,5,,,,,
0.1,prediction,,0.469994714649597,0.38852342169140847,0.0,,,,,test_4678,narrow_corridor,0.98046875,512,0,,,,,
0.1,prediction,,0.3548751337018179,0.19332446148786994,1.0,,,,,test_4679,narrow_corridor,0.990234375,512,9,,,,,
0.1,prediction,,17.07673465906076,514.4871538419253,1.0,,,,,test_4680,narrow_corridor,0.994140625,512,4,,,,,
0.1,prediction,,10.504287232510485,252.12946547082322,1.0,,,,,test_4681,narrow_corridor,0.990234375,512,4,,,,,
0.1,prediction,,0.39674906054539466,0.2750638867293651,1.0,,,,,test_4682,narrow_corridor,0.982421875,512,8,,,,,
0.1,prediction,,0.37417098343372346,0.21859805707473562,1.0,,,,,test_4683,narrow_corridor,0.990234375,512,10,,,,,
0.1,prediction,,0.573295826395157,0.5055540959871455,1.0,,,,,test_4684,narrow_corridor,0.984375,512,8,,,,,
0.1,prediction,,0.5847011384180778,0.5184436688727794,1.0,,,,,test_4685,narrow_corridor,0.990234375,512,7,,,,,
0.1,prediction,,15.838013246001267,435.7092576596597,1.0,,,,,test_4686,narrow_corridor,0.998046875,512,5,,,,,
0.1,prediction,,0.5335265418680588,0.428452050681965,1.0,,,,,test_4687,narrow_corridor,0.98828125,512,6,,,,,
0.1,prediction,,0.6385495348356256,2.0899828735169734,1.0,,,,,test_4688,narrow_corridor,0.99609375,512,11,,,,,
0.1,prediction,,0.6726723833411348,0.6379973007102367,0.0,,,,,test_4689,narrow_corridor,0.9921875,512,0,,,,,
0.1,prediction,,8.918187984440586,179.30939131958417,0.0,,,,,test_4690,narrow_corridor,0.994140625,512,0,,,,,
0.1,prediction,,0.5094059162539214,0.4497478845292276,1.0,,,,,test_4691,narrow_corridor,0.9765625,512,11,,,,,
0.1,prediction,,0.7474804413852407,0.8137553471441195,1.0,,,,,test_4692,narrow_corridor,0.982421875,512,9,,,,,
0.1,prediction,,0.7683980331188295,0.7931320740357258,0.0,,,,,test_4693,narrow_corridor,0.990234375,512,0,,,,,
0.1,prediction,,10.33843640278821,207.10268190448102,1.0,,,,,test_4694,narrow_corridor,0.939453125,512,4,,,,,
0.1,prediction,,0.5210941494113267,0.4729271170478632,1.0,,,,,test_4695,narrow_corridor,0.99609375,512,7,,,,,
0.1,prediction,,0.35312171258362646,0.1828539223102931,1.0,,,,,test_4696,narrow_corridor,0.98828125,512,9,,,,,
0.1,prediction,,0.523015310667982,0.4942908993498757,1.0,,,,,test_4697,narrow_corridor,0.998046875,512,5,,,,,
0.1,prediction,,0.45850226458381205,0.3021764171554587,1.0,,,,,test_4698,narrow_corridor,0.990234375,512,5,,,,,
0.1,prediction,,0.9977087545394897,1.3178592005372622,0.0,,,,,test_4699,narrow_corridor,0.982421875,512,0,,,,,
0.1,prediction,,0.6296386669996861,0.5816692668173827,1.0,,,,,test_4700,bottleneck,0.955078125,512,8,,,,,
0.1,prediction,,0.6024357897670646,0.6173999904659693,1.0,,,,,test_4701,bottleneck,0.998046875,512,7,,,,,
0.1,prediction,,0.4324057445048028,0.26869650820273505,1.0,,,,,test_4702,bottleneck,0.99609375,512,8,,,,,
0.1,prediction,,0.4376021357828206,0.33329305626835803,1.0,,,,,test_4703,bottleneck,0.9765625,512,8,,,,,
0.1,prediction,,0.4198590568805996,0.34689405590520783,1.0,,,,,test_4704,bottleneck,0.98828125,512,9,,,,,
0.1,prediction,,0.5373497087704507,0.38310677980151014,1.0,,,,,test_4705,bottleneck,0.99609375,512,7,,,,,
0.1,prediction,,0.4079499727884928,0.28864206241739815,1.0,,,,,test_4706,bottleneck,0.990234375,512,7,,,,,
0.1,prediction,,0.4811318289889438,0.38533661701051847,0.0,,,,,test_4707,bottleneck,0.986328125,512,0,,,,,
0.1,prediction,,0.4181166513385422,0.31154847335962044,1.0,,,,,test_4708,bottleneck,0.9921875,512,9,,,,,
0.1,prediction,,0.45466755393304326,0.4847838233693782,1.0,,,,,test_4709,bottleneck,0.9921875,512,8,,,,,
0.1,prediction,,0.28631313047384027,0.16424872343975427,1.0,,,,,test_4710,bottleneck,0.998046875,512,7,,,,,
0.1,prediction,,0.6546190275121431,0.655991372388746,1.0,,,,,test_4711,bottleneck,0.982421875,512,10,,,,,
0.1,prediction,,0.6035758826293444,0.6289812165414483,1.0,,,,,test_4712,bottleneck,0.98828125,512,7,,,,,
0.1,prediction,,0.40915726413901565,0.26505469517209435,1.0,,,,,test_4713,bottleneck,0.978515625,512,9,,,,,
0.1,prediction,,0.5859598834263651,0.5591039725560442,1.0,,,,,test_4714,bottleneck,0.986328125,512,9,,,,,
0.1,prediction,,0.31811046490543765,0.16918677381034844,1.0,,,,,test_4715,bottleneck,0.994140625,512,7,,,,,
0.1,prediction,,0.4805290123349742,0.36862127800089095,1.0,,,,,test_4716,bottleneck,0.978515625,512,8,,,,,
