scope,map_size,structure_type,algorithm,cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_astar_search_seconds,mean_total_runtime_seconds,mean_expanded_nodes_saved_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_runtime_overhead_seconds_vs_manhattan,total_runtime_overhead_fraction_vs_manhattan,total_runtime_multiplier_vs_manhattan,astar_search_overhead_seconds_vs_manhattan,astar_search_multiplier_vs_manhattan
map_size_structure,500,narrow_corridor,manhattan_astar,100,25037.36,16945.5,1.0,0.0,0.04699761706957361,0.04699761706957361,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,500,narrow_corridor,full_map_unet_tiebreak,100,16739.5,6643.5,1.0,0.0,0.33775650827941717,1.034624494939053,8297.86,0.3314191272562283,0.9876268778694794,21.01440327086013,22.01440327086013,0.29075889120984355,7.1866730557724745
map_size_structure,500,narrow_corridor,region_cache_patch_32,100,14202.45,4067.0,1.0,0.0,0.21472070632327814,1.0189668254097342,10834.91,0.4327496988500385,0.9719692083401605,20.681244474614356,21.681244474614356,0.16772308925370452,4.568757305405787
map_size_structure,500,narrow_corridor,region_cache_patch_64,100,15334.03,5342.5,1.0,0.0,0.23407086411651107,1.1785915729109546,9703.33,0.38755403924375414,1.131593955841381,24.077687899924996,25.077687899924996,0.18707324704693745,4.980483665161168
map_size_structure,500,open_random,manhattan_astar,100,17853.51,11551.0,1.0,0.0,0.031738883309299123,0.031738883309299123,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,500,open_random,full_map_unet_tiebreak,100,11540.59,7566.5,1.0,0.0,0.0883600309099711,0.5246320992899564,6312.919999999998,0.3535954554594586,0.4928932159806572,15.529633200303719,16.529633200303717,0.05662114760067198,2.7839678557336844
map_size_structure,500,open_random,region_cache_patch_32,100,10553.99,6940.0,1.0,0.0,0.07571123283167253,0.5718099712100957,7299.519999999999,0.40885629772520915,0.5400710879007966,17.016070875516974,18.016070875516974,0.0439723495223734,2.3854409776757968
map_size_structure,500,open_random,region_cache_patch_64,100,11214.03,7852.0,1.0,0.0,0.06554852194778504,0.5277803467100602,6639.479999999998,0.3718865365970052,0.4960414634007611,15.628825329699824,16.628825329699826,0.03380963863848592,2.065243484120315
map_size_structure,1000,bottleneck,manhattan_astar,100,170252.07,107163.0,1.0,0.0,0.3604217916892958,0.3604217916892958,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size_structure,1000,bottleneck,full_map_unet_tiebreak,100,127617.41,52787.5,1.0,0.0,0.554183991580212,1.6237955753906863,42634.66,0.25042080251946425,1.2633737837013905,3.5052647005053763,4.505264700505377,0.19376219989091625,1.5375984592461889
