case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds
size100_bottleneck_seed120460772,100,bottleneck,120460772,0.1,28e4311aa79397f006dee907bc5fc850e889c05a54f7a1033be2c4e4ea9e61d9,"17,2","85,1",69,manhattan_astar,True,69,0,True,138,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00024095800472423434,0.00024095800472423434
size100_bottleneck_seed120460773,100,bottleneck,120460773,0.2,5eb15011fd69842d5575bf29c8e3c5aed33f0fc1487d88ea76e87b1a739f1c3c,"41,42","46,46",9,manhattan_astar,True,9,0,True,30,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.137499829288572e-05,5.137499829288572e-05
size100_bottleneck_seed120460774,100,bottleneck,120460774,0.3,88a238266c0cccdaa2f716ddb57c4cb211540aac24c2cdc513287ffe3737077d,"70,41","10,45",64,manhattan_astar,True,64,0,True,271,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0003976660082116723,0.0003976660082116723
size100_bottleneck_seed120460775,100,bottleneck,120460775,0.4,b2c46906ce9f726ea4baded9ed5288ceb65c2cc3677c7cd562a29df6a2065efc,"92,69","32,55",74,manhattan_astar,True,74,0,True,872,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0012795000075129792,0.0012795000075129792
size100_bottleneck_seed120460776,100,bottleneck,120460776,0.1,5f4fefbff72a8e4b4f2b52f56a75d1e5c96ffd3bc4b195fd61c32cf7839fd4c5,"72,65","79,83",25,manhattan_astar,True,25,0,True,144,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0002161250013159588,0.0002161250013159588
size100_bottleneck_seed120460777,100,bottleneck,120460777,0.2,4df69177e793df89a77a5c0f929be5d26ca5acc5cc70401803e3e59b079469fe,"20,33","51,32",32,manhattan_astar,True,32,0,True,64,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00011137500405311584,0.00011137500405311584
size100_bottleneck_seed120460778,100,bottleneck,120460778,0.3,f25a56b76eb77d26dfee2181ab57067631b530d0abe316007da7dece575c53fb,"61,56","52,35",110,manhattan_astar,True,110,0,True,2949,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004183500001090579,0.004183500001090579
size100_bottleneck_seed120460779,100,bottleneck,120460779,0.4,171936490b542acede35523d99d198dc460aafd28f967526ba96e8a6cde74fcc,"60,27","95,57",183,manhattan_astar,True,183,0,True,4699,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.006583708003745414,0.006583708003745414
size100_bottleneck_seed120460780,100,bottleneck,120460780,0.1,eeea32cb29dcff1db37a8e2a67ba28fe216af0e67e01a039a8df8693397d3b8d,"86,80","51,32",101,manhattan_astar,True,101,0,True,2807,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004055291996337473,0.004055291996337473
size100_bottleneck_seed120460781,100,bottleneck,120460781,0.2,cb5ea80f955b19fe5a4e940818894c2de0103f22eb3e55e6c8b53695b1cd1644,"83,0","0,73",156,manhattan_astar,True,156,0,True,5657,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.008443250000709668,0.008443250000709668
size100_bottleneck_seed120460782,100,bottleneck,120460782,0.3,74f01f114fae2fda21950c0b5a31943192110960a5b9f2d36303787c7a4e6585,"59,90","29,32",120,manhattan_astar,True,120,0,True,3448,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004928250011289492,0.004928250011289492
size100_bottleneck_seed120460783,100,bottleneck,120460783,0.4,777702c30ae3e2400b43d788fa82155caf1237d087e184ff7dffcc07d9be266e,"55,92","29,28",126,manhattan_astar,True,126,0,True,3395,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0049142499919980764,0.0049142499919980764
