abs_spearman,all_free_cell_count,articulation_near_path_count,cost_gap,critical_cell_count,critical_k,critical_unet_minus_mlp_large_overestimate_rate,critical_unet_minus_mlp_mae,critical_unet_minus_mlp_ordering_accuracy,critical_unet_minus_mlp_overestimate_rate,critical_unet_minus_mlp_rmse,critical_unet_minus_mlp_spearman,global_unet_minus_mlp_large_overestimate_rate,global_unet_minus_mlp_mae,global_unet_minus_mlp_ordering_accuracy,global_unet_minus_mlp_overestimate_rate,global_unet_minus_mlp_rmse,global_unet_minus_mlp_spearman,goal_col,goal_row,low_degree_near_path_count,map_mode,map_size,maps,mean_cost_gap,mean_critical_fraction,mean_critical_unet_minus_mlp_large_overestimate_rate,mean_critical_unet_minus_mlp_mae,mean_critical_unet_minus_mlp_ordering_accuracy,mean_critical_unet_minus_mlp_overestimate_rate,mean_critical_unet_minus_mlp_rmse,mean_critical_unet_minus_mlp_spearman,mean_global_unet_minus_mlp_large_overestimate_rate,mean_global_unet_minus_mlp_mae,mean_global_unet_minus_mlp_ordering_accuracy,mean_global_unet_minus_mlp_overestimate_rate,mean_global_unet_minus_mlp_rmse,mean_global_unet_minus_mlp_spearman,mean_mlp_critical_large_overestimate_rate,mean_mlp_critical_mae,mean_mlp_critical_ordering_accuracy,mean_mlp_critical_overestimate_rate,mean_mlp_critical_rmse,mean_mlp_critical_spearman,mean_mlp_global_large_overestimate_rate,mean_mlp_global_mae,mean_mlp_global_ordering_accuracy,mean_mlp_global_overestimate_rate,mean_mlp_global_rmse,mean_mlp_global_spearman,mean_unet_critical_large_overestimate_rate,mean_unet_critical_mae,mean_unet_critical_minus_global_large_overestimate_rate,mean_unet_critical_minus_global_mae,mean_unet_critical_minus_global_ordering_accuracy,mean_unet_critical_minus_global_overestimate_rate,mean_unet_critical_ordering_accuracy,mean_unet_critical_overestimate_rate,mean_unet_critical_rmse,mean_unet_critical_spearman,mean_unet_global_large_overestimate_rate,mean_unet_global_mae,mean_unet_global_ordering_accuracy,mean_unet_global_overestimate_rate,mean_unet_global_rmse,mean_unet_global_spearman,mean_unet_minus_mlp_expanded,metric_scope,mlp_critical_cell_count,mlp_critical_large_overestimate_rate,mlp_critical_mae,mlp_critical_ordering_accuracy,mlp_critical_overestimate_rate,mlp_critical_rmse,mlp_critical_spearman,mlp_global_cell_count,mlp_global_large_overestimate_rate,mlp_global_mae,mlp_global_ordering_accuracy,mlp_global_overestimate_rate,mlp_global_rmse,mlp_global_spearman,mlp_path_length,mlp_wins,n,obstacle_rate,optimal_cost,path_cell_count,pearson,row_type,scope,seed,source,spearman,start_col,start_row,structured_type,unet_critical_cell_count,unet_critical_large_overestimate_rate,unet_critical_mae,unet_critical_minus_global_large_overestimate_rate,unet_critical_minus_global_mae,unet_critical_minus_global_ordering_accuracy,unet_critical_minus_global_overestimate_rate,unet_critical_ordering_accuracy,unet_critical_overestimate_rate,unet_critical_rmse,unet_critical_spearman,unet_global_cell_count,unet_global_large_overestimate_rate,unet_global_mae,unet_global_ordering_accuracy,unet_global_overestimate_rate,unet_global_rmse,unet_global_spearman,unet_minus_mlp_expanded,unet_optimal,unet_path_length,unet_wins,x,y
,355,1,0.0,44,2,0.0,-0.13620967756618158,0.004566210045662156,-0.2272727272727273,-0.1904066155850601,0.0035121325719064123,-0.005633802816901409,-0.17725230807989412,-0.0008783783783784527,-0.2788732394366197,-0.1900802345331437,0.002954660849253443,8,12,3,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.0,0.6284793290224943,0.978310502283105,0.8636363636363636,0.7816927564647754,0.981983627602998,355,0.005633802816901409,0.8048156120407749,0.9717736486486487,0.9154929577464789,0.9876524560007801,0.9795058418416428,9.0,True,,0.1,9.0,10,,map,map,10,random_sg_100,,5,18,random,44,0.0,0.4922696514563127,0.0,-0.1352936525045681,0.011981442058496938,-0.0002560819462228414,0.9828767123287672,0.6363636363636364,0.5912861408797153,0.9854957601749044,355,0.0,0.6275633039608808,0.9708952702702702,0.6366197183098592,0.7975722214676364,0.9824605026908962,4.0,True,9.0,False,,
,360,0,0.0,78,2,-0.038461538461538464,-0.41587441242658174,0.006937218175511628,-0.17948717948717952,-0.4822301158952339,0.0019070773259485252,-0.008333333333333333,0.010648831062846753,0.0038440951778502264,-0.31111111111111106,0.11346630411362324,0.0017079675114342052,4,10,4,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,0.038461538461538464,1.1847806603480608,0.9764134582032605,0.8333333333333334,1.4422015197991627,0.9911291984871442,360,0.008333333333333333,1.0397809422678417,0.9536924399461503,0.6361111111111111,1.2101362238145768,0.9784546946889192,19.0,True,,0.1,19.0,20,,map,map,11,random_sg_100,,19,14,random,78,0.0,0.7689062479214791,0.0,-0.28152352540920933,0.02581414125477166,0.32884615384615384,0.9833506763787722,0.6538461538461539,0.9599714039039288,0.9930362758130927,360,0.0,1.0504297733306884,0.9575365351240005,0.325,1.3236025279282,0.9801626622003534,22.0,True,19.0,False,,
,367,0,0.0,95,2,-0.031578947368421054,-0.45418364531115474,-0.009794776119402937,-0.5052631578947369,-0.5395954514587924,-0.005588063157619505,-0.05449591280653951,-0.30863935981524404,-0.007285553655869248,-0.5367847411444141,-0.4051057054436433,-0.0035141610640379017,17,17,1,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.042105263157894736,1.1173056602478026,0.9878731343283582,0.968421052631579,1.395393914949017,0.9942678613672397,367,0.08446866485013624,1.1718944580743358,0.9772499730449917,0.989100817438692,1.559430626982129,0.9905567412720273,19.0,True,,0.1,19.0,20,,map,map,12,random_sg_100,,9,6,random,95,0.010526315789473684,0.6631220149366479,-0.019446436254123046,-0.20013308332244384,0.0081139388198328,0.010841818442564155,0.9780783582089553,0.4631578947368421,0.8557984634902247,0.9886797982096202,367,0.02997275204359673,0.8632550982590917,0.9699644193891225,0.45231607629427795,1.1543249215384856,0.9870425802079894,35.0,True,19.0,False,,
,360,0,0.0,43,2,0.0,0.25421436027038935,-0.034606205250596656,-0.6744186046511629,0.3058712285219728,-0.03181369400397427,-0.03611111111111111,-0.08242469943232011,-0.009962179126096427,-0.7277777777777779,-0.1713089585142078,-0.005275961047308875,11,0,0,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0.0,0.7399890561436497,0.986873508353222,0.9534883720930233,0.8889405596730912,0.9878733103674456,360,0.04722222222222222,1.1203401972850164,0.9788364046028808,0.9944444444444445,1.3954005755003684,0.9918936351862792,9.0,True,,0.1,9.0,10,,map,map,13,random_sg_100,,8,6,random,43,0.0,0.9942034164140391,-0.011111111111111112,-0.043712081438657235,-0.01660692237415906,0.012403100775193798,0.9522673031026253,0.27906976744186046,1.194811788195064,0.9560596163634714,360,0.011111111111111112,1.0379154978526963,0.9688742254767844,0.26666666666666666,1.2240916169861606,0.9866176741389703,18.0,True,9.0,False,,
,366,1,0.0,55,2,0.0,-0.02803881818597964,-0.0007209805335255393,-0.34545454545454546,0.036077068648277866,-0.0004311559774823337,-0.02459016393442623,-0.1948964954073964,-0.0017168328371843788,-0.412568306010929,-0.16446603920421676,0.001306171795612432,14,12,2,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.0,0.5186897321180863,0.9920692141312184,0.8545454545454545,0.5955062366650623,0.9932141859604037,366,0.02459016393442623,0.9274776392295713,0.9669391548142198,0.9098360655737705,1.2277711029733769,0.9772046918085019,11.0,True,,0.1,11.0,12,,map,map,14,random_sg_100,,9,6,random,55,0.0,0.4906509139321067,0.0,-0.24193022989006818,0.02612591162065747,0.011823149528067511,0.9913482335976929,0.509090909090909,0.6315833053133402,0.9927830299829213,366,0.0,0.7325811438221749,0.9652223219770354,0.4972677595628415,1.0633050637691601,0.9785108636041143,14.0,True,11.0,False,,
,370,0,0.0,82,2,0.0,-0.25999246065209547,-0.001240694789081842,-0.3292682926829268,-0.30712776877218906,-0.0003755897851198675,0.005405405405405406,-0.2246704612229321,-0.008714530332681103,-0.3891891891891892,-0.1607118389380523,-0.0036577493891882806,12,3,6,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,0.0,0.778115731913869,0.9956575682382134,0.9634146341463414,0.9982206395300728,0.9981156522641504,370,0.005405405405405406,0.9128752115610483,0.9865612769080235,0.9756756756756757,1.1083307763770862,0.9946818515275622,25.0,True,,0.1,25.0,26,,map,map,15,random_sg_100,,0,16,random,82,0.0,0.5181232712617735,-0.010810810810810811,-0.17008147907634275,0.016570126873789115,0.04765985497692815,0.9944168734491315,0.6341463414634146,0.6910928707578837,0.9977400624790306,370,0.010810810810810811,0.6882047503381162,0.9778467465753424,0.5864864864864865,0.9476189374390339,0.9910241021383739,41.0,True,25.0,False,,
,353,0,0.0,87,2,-0.011494252873563218,-0.3773223866505185,-0.00027878449958185225,-0.44827586206896547,-0.4121430111586981,-0.0002594874428401006,-0.0339943342776204,-0.30197868415975027,-0.0028256664704399137,-0.5014164305949009,-0.33808332887128656,-0.0005765619852279302,3,8,7,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,0.011494252873563218,0.8162151506577415,0.9927516030108726,0.9425287356321839,1.0404220533256674,0.9964869447214072,353,0.0339943342776204,0.9495803431816209,0.9805062652426205,0.9575070821529745,1.2111289595282,0.991244633913619,19.0,True,,0.1,19.0,20,,map,map,16,random_sg_100,,14,16,random,87,0.0,0.43889276400722305,0.0,-0.20870889501464757,0.014792219739110157,0.03816222200514474,0.9924728185112908,0.4942528735632184,0.6282790421669693,0.9962274572785671,353,0.0,0.6476016590218706,0.9776805987721806,0.45609065155807366,0.8730456306569134,0.9906680719283911,29.0,True,19.0,False,,
,361,0,0.0,46,2,0.0,-0.4231195514616759,-0.008438818565400852,-0.21739130434782616,-0.5160098880167944,-0.005631866186277978,-0.0332409972299169,-0.4509960325470922,0.00020902337846095964,-0.520775623268698,-0.5065080814827279,4.8031081151256316e-05,15,5,2,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.0,0.939210277536641,0.989451476793249,0.9565217391304348,1.189335081936216,0.9893057676875945,361,0.0332409972299169,1.029891569858773,0.9799176769463293,0.9695290858725761,1.2865306291596912,0.991304546686495,8.0,True,,0.1,8.0,9,,map,map,17,random_sg_100,,8,6,random,46,0.0,0.5160907260749651,0.0,-0.06280481123671566,0.000885957903057899,0.29037697217873054,0.9810126582278481,0.7391304347826086,0.6733251939194217,0.9836739015013165,361,0.0,0.5788955373116808,0.9801267003247902,0.4487534626038781,0.7800225476769633,0.9913525777676463,1.0,True,8.0,False,,
,368,1,0.0,49,2,0.0,-0.2665133062674075,-0.01576994434137291,-0.3673469387755103,-0.283186114193995,-0.009969163357547828,0.0,-0.19634796387475473,-0.008882481514207341,-0.5869565217391305,-0.20211873997793595,-0.0033104484282292512,7,15,1,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.0,0.7243020534515381,0.9916512059369202,0.9387755102040817,0.8987178523403884,0.9904623058825572,368,0.0,0.8525888122942137,0.9876141313615154,0.970108695652174,1.0233970693198877,0.9944733777847322,10.0,True,,0.1,10.0,11,,map,map,18,random_sg_100,,0,18,random,49,0.0,0.4577887471841306,0.0,-0.19845210123532836,-0.0028503882517607604,0.18827639751552794,0.9758812615955473,0.5714285714285714,0.6155317381463934,0.9804931425250094,368,0.0,0.656240848419459,0.9787316498473081,0.38315217391304346,0.8212783293419518,0.991162929356503,14.0,True,10.0,False,,
,358,1,0.0,76,2,0.0,-0.6338256381844218,-0.003295496155254485,-0.381578947368421,-0.7167115480271341,-0.0012797702036527747,-0.011173184357541898,-0.31942840469949074,-0.004845103509029558,-0.6033519553072626,-0.35346965823164134,-0.0025251040935854174,18,9,4,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,0.0,1.151818529555672,0.9901135115342365,0.9605263157894737,1.3574181759814066,0.9955445485766283,358,0.013966480446927373,0.9967286073961737,0.9825282631038027,0.9664804469273743,1.2072607273085132,0.9932905012112927,17.0,False,,0.1,17.0,18,,map,map,19,random_sg_100,,4,8,random,76,0.0,0.5179928913712502,-0.002793296089385475,-0.15930731132543285,0.009134855784208917,0.21581887680094092,0.9868180153789821,0.5789473684210527,0.6407066279542725,0.9942647783729756,358,0.002793296089385475,0.677300202696683,0.9776831595947731,0.36312849162011174,0.8537910690768719,0.9907653971177073,0.0,True,17.0,False,,
