model,index,map_type,obstacle_rate,mae,mse,expanded_nodes,optimal,tie_top1_correct,tie_top1_total,high_impact_events,high_impact_unet_ordering_errors
expanded,4623,narrow_corridor,0.1,0.2653557460441768,0.1115910671343579,11,True,10,10,0,0
expanded,4624,narrow_corridor,0.1,0.5708740788836811,0.6857881874278741,13,True,7,7,0,0
expanded,4625,narrow_corridor,0.2,0.5110180136634083,0.42720342591123445,7,True,6,6,0,0
expanded,4626,narrow_corridor,0.2,0.3658747224553118,0.22300739442637085,8,True,7,7,0,0
expanded,4627,narrow_corridor,0.2,0.45174963509335236,0.3258501554376414,7,True,6,6,0,0
expanded,4628,narrow_corridor,0.2,0.4271971531785451,0.3260326545875732,9,True,8,8,0,0
expanded,4629,narrow_corridor,0.2,0.5043347240651695,0.4221124289945748,10,True,7,7,0,0
expanded,4630,narrow_corridor,0.2,0.7728481391101207,0.8443862054140174,17,True,14,14,0,0
expanded,4631,narrow_corridor,0.2,0.4193367402728011,0.3568935744899025,9,True,8,8,0,0
expanded,4632,narrow_corridor,0.2,0.5196700792007258,0.39566717016834213,11,True,10,10,0,0
expanded,4633,narrow_corridor,0.2,0.623383481145481,0.5567567513746758,8,True,7,7,0,0
expanded,4634,narrow_corridor,0.2,0.477306634479878,0.3602575656126922,7,True,4,4,0,0
expanded,4635,narrow_corridor,0.2,0.49394411885220074,0.3816469242395191,7,True,6,6,0,0
expanded,4636,narrow_corridor,0.2,0.5128117142950447,0.39963595220518905,10,True,9,9,0,0
expanded,4637,narrow_corridor,0.2,0.4538010699817768,0.2963890409551712,9,True,8,8,0,0
expanded,4638,narrow_corridor,0.2,0.3244717344281754,0.17914576793485706,7,True,6,6,0,0
expanded,4639,narrow_corridor,0.2,0.2921575483492607,0.13363753143106474,7,True,6,6,0,0
expanded,4640,narrow_corridor,0.2,0.5810593686886688,0.6795691306973414,8,True,7,7,0,0
expanded,4641,narrow_corridor,0.2,0.991937051648679,1.4989983074579576,11,True,10,10,0,0
expanded,4642,narrow_corridor,0.2,0.5246677977023738,0.4365722531053023,9,True,0,0,0,0
expanded,4643,narrow_corridor,0.2,0.32815705672860734,0.17294605897619236,8,True,7,7,0,0
expanded,4644,narrow_corridor,0.2,0.3953244789288594,0.24689824453981826,9,True,0,0,0,0
expanded,4645,narrow_corridor,0.2,0.41645922967531146,0.37427579511727876,10,True,9,9,0,0
expanded,4646,narrow_corridor,0.2,0.31925075812247194,0.16793482127081233,7,True,6,6,0,0
expanded,4647,narrow_corridor,0.2,0.30184355716813693,0.1600344631593713,9,True,8,8,0,0
expanded,4648,narrow_corridor,0.2,0.37392304874048,0.20530628958752317,15,True,14,14,0,0
expanded,4649,narrow_corridor,0.2,0.4235790710557591,0.26188077442581387,13,True,12,12,0,0
expanded,4650,narrow_corridor,0.3,0.49926521487352327,0.5527406257202538,8,True,7,7,0,0
expanded,4651,narrow_corridor,0.3,0.35332771064025426,0.20618710575534638,10,True,9,9,0,0
expanded,4652,narrow_corridor,0.3,0.47196643352508544,0.30610034574148426,13,True,12,12,0,0
expanded,4653,narrow_corridor,0.3,0.5300658496458139,0.4395718751109873,8,True,7,7,0,0
expanded,4654,narrow_corridor,0.3,0.3793798171240708,0.20867769606611197,4,True,3,3,0,0
expanded,4655,narrow_corridor,0.3,0.3867297080846933,0.22247406182549156,6,True,0,0,0,0
expanded,4656,narrow_corridor,0.3,0.3652077394665456,0.22445787832684552,7,True,6,6,0,0
expanded,4657,narrow_corridor,0.3,0.4715421311739014,0.3838851950952663,8,True,7,7,0,0
expanded,4658,narrow_corridor,0.3,0.4957682958463343,0.4388379917915325,7,True,0,0,0,0
expanded,4659,narrow_corridor,0.3,0.3843333509940546,0.23123472053408947,8,True,7,7,0,0
expanded,4660,narrow_corridor,0.3,0.9277579838712814,1.4256953312212561,8,True,4,4,0,0
expanded,4661,narrow_corridor,0.3,0.44378410484276565,0.3626266675175837,7,True,6,6,0,0
expanded,4662,narrow_corridor,0.3,0.5518614753048019,0.529526540130322,8,True,7,7,0,0
expanded,4663,narrow_corridor,0.3,0.7976675113526787,0.9079469743393621,9,True,8,8,0,0
expanded,4664,narrow_corridor,0.3,0.7574054663087807,0.8267849688365914,10,True,0,0,0,0
expanded,4665,narrow_corridor,0.3,0.4542758004500134,0.3527263329920123,8,True,7,7,0,0
expanded,4666,narrow_corridor,0.3,0.5086627981616455,0.41133983508991523,8,True,7,7,0,0
expanded,4667,narrow_corridor,0.3,0.30272471274320895,0.15360939750958114,7,True,6,6,0,0
expanded,4668,narrow_corridor,0.3,0.6789244378822438,0.7509666426012885,11,True,6,6,0,0
expanded,4669,narrow_corridor,0.3,0.48446301888362525,0.4222094799924151,7,True,5,5,0,0
expanded,4670,narrow_corridor,0.3,0.5842533844273264,0.5195242017245522,8,True,7,7,0,0
